"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 28 14:55:40 GMT 2023","Sat Jan 28 14:55:41 GMT 2023","875","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта RUB на сайте WB это Российский рубль",""
"passed","Sat Jan 28 14:55:41 GMT 2023","Sat Jan 28 14:55:42 GMT 2023","875","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта BYN на сайте WB это Белорусский рубль",""
"failed","Sat Jan 28 14:55:32 GMT 2023","Sat Jan 28 14:55:40 GMT 2023","7903","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","searchGoodsOnWB","searchGoodsOnWB(String, String) По запросу корм для собак мираторг для взрослых 10 кг на сайте WB нашлось 76 товаров",""
"passed","Sat Jan 28 14:54:34 GMT 2023","Sat Jan 28 14:54:43 GMT 2023","8627","","demoqa.tests.CheckingFormWithPageObjects","","demoqa.tests.CheckingFormWithPageObjects","fillForm","fillForm()",""
"passed","Sat Jan 28 14:55:00 GMT 2023","Sat Jan 28 14:55:03 GMT 2023","2227","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingListener","Тест на проверку задачи с использованием Listener",""
"passed","Sat Jan 28 14:55:43 GMT 2023","Sat Jan 28 14:55:44 GMT 2023","909","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта AMD на сайте WB это Армянский драм",""
"passed","Sat Jan 28 14:54:47 GMT 2023","Sat Jan 28 14:54:51 GMT 2023","4108","","demoqa.tests.GenerationDataForCheckingForm","","demoqa.tests.GenerationDataForCheckingForm","fillForm","fillForm()",""
"passed","Sat Jan 28 14:55:44 GMT 2023","Sat Jan 28 14:55:45 GMT 2023","930","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта UZS на сайте WB это Узбекский сум",""
"passed","Sat Jan 28 14:55:15 GMT 2023","Sat Jan 28 14:55:15 GMT 2023","40","","junit.FirstJUnitTest","","junit.FirstJUnitTest","firstTest","firstTest()",""
"failed","Sat Jan 28 14:55:15 GMT 2023","Sat Jan 28 14:55:32 GMT 2023","16923","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","searchGoodsOnWB","searchGoodsOnWB(String, String) По запросу корм для кошек мираторг для взрослых 10 кг на сайте WB нашлось 103 товаров",""
"passed","Sat Jan 28 14:55:42 GMT 2023","Sat Jan 28 14:55:43 GMT 2023","870","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта KZT на сайте WB это Казахстанский тенге",""
"passed","Sat Jan 28 14:55:03 GMT 2023","Sat Jan 28 14:55:04 GMT 2023","1616","","github.LoadingTheCorrectPage","","github.LoadingTheCorrectPage","loadingPageWithSpecificTitle","loadingPageWithSpecificTitle()",""
"passed","Sat Jan 28 14:54:58 GMT 2023","Sat Jan 28 14:55:00 GMT 2023","2649","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingAnnotatedSteps","Тест на проверку задачи с использованием аннотации Step",""
"passed","Sat Jan 28 14:54:51 GMT 2023","Sat Jan 28 14:54:52 GMT 2023","451","","files.SelenideFilesTest","","files.SelenideFilesTest","parseXLSFile","parseXLSFile()",""
"passed","Sat Jan 28 14:55:44 GMT 2023","Sat Jan 28 14:55:44 GMT 2023","913","","junit.SearchGoodsOnWB","","junit.SearchGoodsOnWB","costDependsOnСurrency","costDependsOnСurrency(Currency, String) Валюта KGS на сайте WB это Киргизский сом",""
"passed","Sat Jan 28 14:54:55 GMT 2023","Sat Jan 28 14:54:58 GMT 2023","3229","","github.CheckIssueName","","github.CheckIssueName","testCheckIssueNameUsingSteps","Тест на проверку задачи с использованием step",""
"passed","Sat Jan 28 14:54:53 GMT 2023","Sat Jan 28 14:54:55 GMT 2023","1708","","github.BestContributorToSelenide","","github.BestContributorToSelenide","solntsevShouldBeTheTopContributor","solntsevShouldBeTheTopContributor()",""
"passed","Sat Jan 28 14:54:52 GMT 2023","Sat Jan 28 14:54:53 GMT 2023","494","","files.SelenideJSONFileTest","","files.SelenideJSONFileTest","parseJSONFile","parseJSONFile()",""
"passed","Sat Jan 28 14:54:52 GMT 2023","Sat Jan 28 14:54:52 GMT 2023","574","","files.SelenideFilesTest","","files.SelenideFilesTest","parsePDFFile","parsePDFFile()",""
"passed","Sat Jan 28 14:54:43 GMT 2023","Sat Jan 28 14:54:47 GMT 2023","3972","","demoqa.tests.DemoqaCheckingForm","","demoqa.tests.DemoqaCheckingForm","fillForm","fillForm()",""
"failed","Sat Jan 28 14:55:04 GMT 2023","Sat Jan 28 14:55:10 GMT 2023","5622","","github.SelenideRepositorySearch","","github.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"failed","Sat Jan 28 14:55:10 GMT 2023","Sat Jan 28 14:55:15 GMT 2023","5068","","github.SoftAssertionsHaveJUnit5","","github.SoftAssertionsHaveJUnit5","softAssertionsHaveCodeJUnit5","softAssertionsHaveCodeJUnit5()",""
"passed","Sat Jan 28 14:54:51 GMT 2023","Sat Jan 28 14:54:51 GMT 2023","170","","files.SelenideFilesTest","","files.SelenideFilesTest","parseCSVFile","parseCSVFile()",""
